--------- beginning of main
07-12 19:34:04.964 12363 12363 I zygote  : Late-enabling -Xcheck:jni
--------- beginning of system
07-12 19:34:05.093 12363 12363 I ActivityThread: handleStopService: token=android.os.BinderProxy@aa15cae not found.
07-12 19:34:05.100 12363 12363 I TransferService: Starting Transfer Service to listen for network connectivity changes.
07-12 19:34:05.102 12363 12363 W LogFactory: Truncating log tag length as it exceed 23, the limit imposed by Android on certain API Levels
07-12 19:34:05.129 12363 12363 I TransferService: Registering the network receiver
07-12 19:34:05.133 12363 12363 I TransferService: Moving the service out of the Foreground state.
07-12 19:34:05.134 12363 12363 I TransferService: De-registering the network receiver.
07-12 19:34:22.673 12363 12363 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
07-12 19:41:37.849 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg:       creation_time   : 
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg: 2020-03-12T08:42:29.000000Z
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg: PittaSoft Video Media Handler
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:41:37.850 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 47 kb/s
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg:       creation_time   : 
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: 2020-03-12T08:42:29.000000Z
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: PittaSoft Sound Media Handler
07-12 19:41:37.851 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg: Stream mapping:
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg:   Stream #0:0 -> #0:0
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg:   Stream #0:1 -> #0:1
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg: 
07-12 19:41:37.852 12363 12708 I mobile-ffmpeg: Press [q] to stop, [?] for help
07-12 19:41:37.853 12363 12708 I mobile-ffmpeg: frame=    1 fps=0.0 q=-1.0 size=N/A time=00:00:00.00 bitrate=N/A speed=31.5x    
07-12 19:41:38.059 12363 12708 I mobile-ffmpeg: [segment @ 0x93eaba00] Opening '/storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!001.mp4' for writing
07-12 19:41:38.239 12363 12708 I mobile-ffmpeg: [segment @ 0x93eaba00] Opening '/storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!002.mp4' for writing
07-12 19:41:38.354 12363 12708 I mobile-ffmpeg: frame= 1188 fps=0.0 q=-1.0 size=N/A time=00:00:39.60 bitrate=N/A speed=79.1x    
07-12 19:41:39.125 12363 12708 I mobile-ffmpeg: [segment @ 0x93eaba00] Opening '/storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!003.mp4' for writing
07-12 19:41:39.125 12363 12708 I mobile-ffmpeg: frame= 1443 fps=1136 q=-1.0 size=N/A time=00:00:48.11 bitrate=N/A speed=37.9x    
07-12 19:41:39.251 12363 12708 I mobile-ffmpeg: frame= 1800 fps=1287 q=-1.0 Lsize=N/A time=00:01:00.03 bitrate=N/A speed=42.9x    
07-12 19:41:39.251 12363 12708 I mobile-ffmpeg: video:61330kB audio:346kB subtitle:0kB other streams:0kB global headers:0kB muxing overhead: 
07-12 19:41:39.251 12363 12708 I mobile-ffmpeg: unknown
07-12 19:41:39.251 12363 12708 I mobile-ffmpeg: 
07-12 19:41:39.255 12363 12654 V FileManager: External storage is readable
07-12 19:41:39.255 12363 12654 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment/20200312_194129
07-12 19:41:39.255 12363 12654 V VideoManager: Retrieving videos from /storage/emulated/0/Movies/segment/20200312_194129
07-12 19:41:39.258 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!000.mp4
07-12 19:41:39.286 12363 12654 V VideoManager: videoFromCursor
07-12 19:41:39.288 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!001.mp4
07-12 19:41:39.295 12363 12654 V VideoManager: videoFromCursor
07-12 19:41:39.297 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!002.mp4
07-12 19:41:39.304 12363 12654 V VideoManager: videoFromCursor
07-12 19:41:39.306 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/segment/20200312_194129/20200312_194129!003.mp4
07-12 19:41:39.313 12363 12654 V VideoManager: videoFromCursor
07-12 19:41:39.317 12363 12654 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:41:39.319 12363 12654 W NearbyFragment: Sending 20200312_194129!000.mp4 to Galaxy S8 [2802]
07-12 19:41:39.332 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:40.322 12363 12654 V DownloadTestVideosTask: Starting DownloadTestVideosTask
07-12 19:41:40.325 12363 12654 V DashDownloadManager: Started downloading: 20200312_194229.mp4
07-12 19:41:43.342 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:43.454 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@7d96a37)
07-12 19:41:43.455 12363 12363 D NearbyFragment: Endpoint{id=Hqzs, name=Galaxy S8 [2802]} has finished downloading 20200312_194129!000.mp4
07-12 19:41:43.455 12363 12363 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:41:43.457 12363 12363 W NearbyFragment: Sending 20200312_194129!001.mp4 to Shark 1S [34d8]
07-12 19:41:43.465 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:41:43.500 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:45.895 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@a97a4c2)
07-12 19:41:45.895 12363 12363 D NearbyFragment: 20200312_194129!000.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]} contained no activity
07-12 19:41:45.895 12363 12363 V NearbyFragment: Received a segment of 20200312_194129
07-12 19:41:45.896 12363 12363 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:41:45.897 12363 12363 W NearbyFragment: Sending 20200312_194129!002.mp4 to Galaxy S8 [2802]
07-12 19:41:45.924 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:46.005 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:49.648 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:41:49.808 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@3f41d09)
07-12 19:41:49.808 12363 12363 D NearbyFragment: Endpoint{id=a6Kd, name=Shark 1S [34d8]} has finished downloading 20200312_194129!001.mp4
07-12 19:41:49.809 12363 12363 V NearbyFragment: nextTransfer with selected algorithm: best_or_local
07-12 19:41:49.810 12363 12363 W NearbyFragment: Sending 20200312_194129!003.mp4 to Shark 1S [9c8f]
07-12 19:41:49.836 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:41:49.853 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:41:53.361 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:53.411 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@5544b3c)
07-12 19:41:53.411 12363 12363 D NearbyFragment: Endpoint{id=Hqzs, name=Galaxy S8 [2802]} has finished downloading 20200312_194129!002.mp4
07-12 19:41:53.412 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:41:53.457 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:41:58.166 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:41:58.319 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@3880c5)
07-12 19:41:58.319 12363 12363 D NearbyFragment: Endpoint{id=b1P0, name=Shark 1S [9c8f]} has finished downloading 20200312_194129!003.mp4
07-12 19:41:58.320 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:41:58.343 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:42:01.995 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@ca90a1a)
07-12 19:42:01.996 12363 12363 V NearbyFragment: Started downloading 20200312_194129!001.mp4 from Endpoint{id=a6Kd, name=Shark 1S [34d8]}
07-12 19:42:01.996 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:42:02.061 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=a6Kd, payload=com.google.android.gms.nearby.connection.Payload@f29694b)
07-12 19:42:02.268 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:42:02.475 12363 12363 V NearbyFragment: Transfer to Endpoint{id=a6Kd, name=Shark 1S [34d8]} complete
07-12 19:42:02.476 12363 12363 W NearbyFragment: Completed downloading 20200312_194129!001.mp4 from Endpoint{id=a6Kd, name=Shark 1S [34d8]} in 00.479s
07-12 19:42:02.483 12363 12363 V FileManager: External storage is readable
07-12 19:42:02.484 12363 12363 V FileManager: Created new directory: /storage/emulated/0/Movies/segment-sum/20200312_194129
07-12 19:42:02.528 12363 12363 V NearbyFragment: Received a segment of 20200312_194129
07-12 19:42:02.528 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@db8df28)
07-12 19:42:02.528 12363 12363 V NearbyFragment: Started downloading 20200312_194129!003.mp4 from Endpoint{id=b1P0, name=Shark 1S [9c8f]}
07-12 19:42:02.529 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:42:02.529 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:42:02.530 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=b1P0, payload=com.google.android.gms.nearby.connection.Payload@ca56441)
07-12 19:42:02.540 12363 12363 V NearbyFragment: Transfer to Endpoint{id=b1P0, name=Shark 1S [9c8f]} complete
07-12 19:42:02.541 12363 12363 W NearbyFragment: Completed downloading 20200312_194129!003.mp4 from Endpoint{id=b1P0, name=Shark 1S [9c8f]} in 00.011s
07-12 19:42:02.545 12363 12363 V FileManager: External storage is readable
07-12 19:42:02.546 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_194129
07-12 19:42:02.552 12363 12363 V NearbyFragment: Received a segment of 20200312_194129
07-12 19:42:03.260 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@23dade6)
07-12 19:42:03.261 12363 12363 V NearbyFragment: Started downloading 20200312_194129!002.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]}
07-12 19:42:03.262 12363 12363 I NearbyFragment: Transfer queue is empty
07-12 19:42:03.266 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:42:03.368 12363 12363 D NearbyFragment: onPayloadReceived(endpointId=Hqzs, payload=com.google.android.gms.nearby.connection.Payload@5234f27)
07-12 19:42:03.579 12363 12363 V NearbyFragment: Transfer to Endpoint{id=Hqzs, name=Galaxy S8 [2802]} complete
07-12 19:42:03.579 12363 12363 W NearbyFragment: Completed downloading 20200312_194129!002.mp4 from Endpoint{id=Hqzs, name=Galaxy S8 [2802]} in 00.318s
07-12 19:42:03.584 12363 12363 V FileManager: External storage is readable
07-12 19:42:03.584 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_194129
07-12 19:42:03.675 12363 12363 D NearbyFragment: Received all summarised video segments of 20200312_194129
07-12 19:42:03.678 12363 12363 V FileManager: External storage is readable
07-12 19:42:03.679 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum/20200312_194129
07-12 19:42:03.680 12363 12363 D FfmpegTools: Merging /storage/emulated/0/Movies/summarised/20200312_194129.mp4
07-12 19:42:03.683 12363 12363 V FileManager: External storage is readable
07-12 19:42:03.683 12363 12363 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment/20200312_194129
07-12 19:42:03.686 12363 12363 I FfmpegTools: Running ffmpeg with:
07-12 19:42:03.686 12363 12363 I FfmpegTools:   -y -f concat -safe 0 -i /storage/emulated/0/Movies/segment/20200312_194129/paths.txt -c copy /storage/emulated/0/Movies/summarised/20200312_194129.mp4
07-12 19:42:03.735 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0xa5618800] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: Input #0, concat, from '/storage/emulated/0/Movies/segment/20200312_194129/paths.txt':
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: N/A
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: -0.064000
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 1145 kb/s
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc), 1280x720, 1059 kb/s
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: , 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 30k tbn, 
07-12 19:42:03.771 12363 12708 I mobile-ffmpeg: 59.94 tbc
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: VideoHandler
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 86 kb/s
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: SoundHandler
07-12 19:42:03.772 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: Output #0, mp4, to '/storage/emulated/0/Movies/summarised/20200312_194129.mp4':
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg:     encoder         : 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: Lavf58.42.100
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc), 1280x720, q=2-31, 1059 kb/s
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: , 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 29.97 fps, 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 30k tbn, 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 30k tbc
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.773 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: VideoHandler
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 86 kb/s
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: SoundHandler
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: Stream mapping:
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:   Stream #0:0 -> #0:0
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:   Stream #0:1 -> #0:1
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg:  (copy)
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: Press [q] to stop, [?] for help
07-12 19:42:03.774 12363 12708 I mobile-ffmpeg: frame=    1 fps=0.0 q=-1.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
07-12 19:42:03.828 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0xa5618800] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:42:03.901 12363 12708 I mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0xa5618800] Auto-inserting h264_mp4toannexb bitstream filter
07-12 19:42:03.906 12363 12708 I mobile-ffmpeg: frame=  326 fps=0.0 q=-1.0 Lsize=    1498kB time=00:00:10.98 bitrate=1117.2kbits/s speed=82.9x    
07-12 19:42:03.906 12363 12708 I mobile-ffmpeg: video:1377kB audio:115kB subtitle:0kB other streams:0kB global headers:0kB muxing overhead: 
07-12 19:42:03.906 12363 12708 I mobile-ffmpeg: 0.412840%
07-12 19:42:03.906 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.907 12363 12363 V FfmpegTools: Retrieving duration of /storage/emulated/0/Movies/summarised/20200312_194129.mp4
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg: Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/storage/emulated/0/Movies/summarised/20200312_194129.mp4':
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg:     major_brand     : 
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg: isom
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg:     minor_version   : 
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg: 512
07-12 19:42:03.947 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg:     compatible_brands: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: isomiso2avc1mp41
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg:     encoder         : 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: Lavf58.42.100
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 00:00:11.04
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 1111 kb/s
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc), 1280x720, 1027 kb/s
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: , 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 29.70 fps, 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 29.97 tbr, 
07-12 19:42:03.948 12363 12708 I mobile-ffmpeg: 30k tbn, 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: 59.94 tbc
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: VideoHandler
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:     Stream #0:1
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: (und)
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: : Audio: aac (mp4a / 0x6134706D), 16000 Hz, stereo, fltp, 85 kb/s
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:  (default)
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:     Metadata:
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg:       handler_name    : 
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: SoundHandler
07-12 19:42:03.949 12363 12708 I mobile-ffmpeg: 
07-12 19:42:03.960 12363 12363 W FfmpegTools: Merged duration of 20200312_194129: 11.04
07-12 19:42:04.060 12363 12363 V VideoManager: Retrieving video from /storage/emulated/0/Movies/summarised/20200312_194129.mp4
07-12 19:42:04.065 12363 12363 V VideoManager: videoFromCursor
07-12 19:42:04.069 12363 12363 V SummarisedVideosEventHandler: onAdd
07-12 19:42:04.070 12363 12363 V RawFootageEventHandler: removeByName
07-12 19:42:04.071 12363 12363 V ProcessingVideosEventHandler: removeByName
07-12 19:42:04.071 12363 12363 V NearbyFragment: Removing video segment map for 20200312_194129
07-12 19:42:04.201 12363 12368 I zygote  : Do full code cache collection, code=507KB, data=392KB
07-12 19:42:04.202 12363 12368 I zygote  : After code cache collection, code=487KB, data=333KB
07-12 19:42:10.375 12363 12654 V VideoManager: Retrieving video from /storage/emulated/0/Movies/raw/20200312_194229.mp4
07-12 19:42:10.388 12363 12654 D VideoManager: videoCursor is null
07-12 19:42:10.430 12363 12654 V VideoManager: videoFromCursor
07-12 19:42:10.432 12363 12654 W DashDownloadManager: Successfully downloaded 20200312_194229.mp4 in 30.049s
07-12 19:42:10.432 12363 12654 V DownloadTestVideosTask: Entering callback for download completion of 20200312_194229.mp4
07-12 19:42:10.433 12363 12654 V RawFootageEventHandler: onAdd
07-12 19:42:10.437 12363 12654 V FfmpegTools: Retrieving duration of /storage/emulated/0/Movies/raw/20200312_194229.mp4
07-12 19:42:10.445 12363 12708 W mobile-ffmpeg: [mov,mp4,m4a,3gp,3g2,mj2 @ 0x94384800] Found duplicated MOOV Atom. Skipped it
07-12 19:42:10.529 12363 12708 I mobile-ffmpeg: Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/storage/emulated/0/Movies/raw/20200312_194229.mp4':
07-12 19:42:10.530 12363 12708 I mobile-ffmpeg:   Metadata:
07-12 19:42:10.530 12363 12708 I mobile-ffmpeg:     creation_time   : 
07-12 19:42:10.531 12363 12708 I mobile-ffmpeg: 2020-03-12T08:43:29.000000Z
07-12 19:42:10.531 12363 12708 I mobile-ffmpeg: 
07-12 19:42:10.532 12363 12708 I mobile-ffmpeg:     major_brand     : 
07-12 19:42:10.532 12363 12708 I mobile-ffmpeg: mp42
07-12 19:42:10.532 12363 12708 I mobile-ffmpeg: 
07-12 19:42:10.533 12363 12708 I mobile-ffmpeg:     minor_version   : 
07-12 19:42:10.533 12363 12708 I mobile-ffmpeg: 1
07-12 19:42:10.534 12363 12708 I mobile-ffmpeg: 
07-12 19:42:10.534 12363 12708 I mobile-ffmpeg:     compatible_brands: 
07-12 19:42:10.535 12363 12708 I mobile-ffmpeg: mp42mp42
07-12 19:42:10.535 12363 12708 I mobile-ffmpeg: 
07-12 19:42:10.535 12363 12708 I mobile-ffmpeg:   Duration: 
07-12 19:42:10.535 12363 12708 I mobile-ffmpeg: 00:01:00.02
07-12 19:42:10.535 12363 12708 I mobile-ffmpeg: , start: 
07-12 19:42:10.536 12363 12708 I mobile-ffmpeg: 0.000000
07-12 19:42:10.536 12363 12708 I mobile-ffmpeg: , bitrate: 
07-12 19:42:10.536 12363 12708 I mobile-ffmpeg: 9328 kb/s
07-12 19:42:10.536 12363 12708 I mobile-ffmpeg: 
07-12 19:42:10.537 12363 12708 I mobile-ffmpeg:     Stream #0:0
07-12 19:42:10.537 12363 12708 I mobile-ffmpeg: (eng)
07-12 19:42:10.537 12363 12708 I mobile-ffmpeg: : Video: h264 (avc1 / 0x31637661), yuvj420p(pc, bt709), 1280x720, 8399 kb/s
07-12 19:42:10.537 12363 12708 I mobile-ffmpeg: , 
07-12 19:42:10.537 12363 12708 I mobile-ffmpeg: 29.97 fps, 
